ID,Source,Project Name,Date of publication,Project timeline,Theme(s),Theme(s),OGC Tech Trend,,,,,,,,Emerging technology,,,,,,,,,Technology Readiness Level,,,,,,,,,,,,,,Public value,,,,,,,,,,,,,,,,,,Government members delivering Project,Other Members delivering project,Key findings - technology,Key findings - use case,Key findings - governance ,Key findings – open challenges,Key findings - additional notes,link to more info,
P87,https://www.esri.es/es-es/descubre-los-gis/casos-de-exito/administracion-/solucion-aforos-playas-cs,Capacity Management Solution for the Beaches of the Costa del Sol,2020,,Other industries (tourism); public health,4.7; 7.4,1,1,1,1,1,1,1,,,,,,,,1,,,,,,1,1,Spain,,,,,1,Malaga,1,Mijas,1,,1,,1,1,,,,,,1,1,,1,1,,1,Tourism and Planning of Costa del Sol; Malaga Provincial Council ,ESRI,For each beach; a polygon map was developed; along with a calculation of maximum capacity based on moveable assets; fixed facilities and the social distancing restrictions of municipalities. Counting applications were developed to feed information on occupancy into the platform. Pilot was launched wo use drones to capture images of beaches; and using AI; automatically calculate occupancy percentages.,in response to the Covid-19 pandemic; the Tourism and Planning Body for Costa del Sol; part of the Malaga Provincial Council; established a GIS platform to manage the capacity of its beaches. The solution was designed to provide information to the 14 different municipalities that collectively manage over 124 beaches. For each beach; a polygon map was developed; along with a calculation of maximum capacity based on moveable assets; fixed facilities and the social distancing restrictions of municipalities. Counting applications were developed to feed information on occupancy into the platform. This information was provided to municipalities as well as to tourists and residents via an online dashboard. As part of the same project; a pilot was launched with two municipalities to use drones to capture images of beaches; and using AI; automatically calculate occupancy percentages. One of these municipalities was Mijas ,,,,,
P88,https://www.ordnancesurvey.co.uk/business-government/products/case-studies/nhs-lothian-covid-datasets ,Locating Mobile Blood-testing Units in Lothian,2021,,Public health,7.4,,,,1,1,1,,,,,,,,,,,,,,,1,1,United Kingdom,,,,,4,East Lothian; Midlothian; West Lothian; Edinburgh,,,1,,1,,1,1,,,,1,,,1,,,1,1,,NHS Lothian,,NHS Lothian combined the locations with anonymised patient addresses – converted to coordinates and displayed using MapInfo software and a range of OS products (Points of Interest; OS Highways; and Open Map Local). From this; we could identify the best places to support these vulnerable patients.,NHS Lothian delivers care for patients who’ve had kidney transplants or have chronic kidney disease. At the start of Britain’s COVID-19 measures; OS used its Points of Interest and OS Highways data to help identify safe and accessible locations for a mobile team to take blood samples. This meant they could monitor patients’ health safely and easily; away from the busy hospital.,Use of National SDI data; from OS - OS provided info under mapping for emergencies crisis protocol; otherwise would have a charge. ,,,,
P89,https://www.ordnancesurvey.co.uk/business-government/products/case-studies/birmingham-nhs-mapping ,Reducing Obesity through mapping Fast Food Vendors in Birmingham,,,Public health,7.4,,,,1,,1,,,,,,,,,,,,,,,1,1,United Kingdom,,,,,,,1,Birmingham,1,1,1,,,,,,,,,,1,,,1,,,Birmingham City Council; Public Health Department,,Use of OS mapping data on schools; youth facilities; leisure centre and unhealthy fast food outlets. ,,"By using Ordnance Survey’s OS Street View; Birmingham’s Public Health team could produce a map showing the high number of takeaways near schools across the city.

Following the development of this interactive map:

The spread of unhealthy fast food outlets around schools has significantly slowed.
The local planning department has adopted a policy to limit the number of new fast food outlets.
Since the policy; almost half of applications for new takeaways have been denied. No more than 10 percent of units in any shopping area can now be takeaways.",,,,
P90,https://www.ordnancesurvey.co.uk/business-government/products/case-studies/stroke-nhs,Hospital Location Planning in Somerset,2014,,Public health,7.4,,1,1,1,,1,,,,,,,,,,,,,,,1,1,United Kingdom,,,,,1,Somerset  ,,,1,,1,,,1,,,,1,,,1,,,1,1,,Somerset Clinical Commissioning Group,,GIS system and analytical model to determine travel time from areas with high stroke cases. ,GIS system used to analyse the impact of centralizing stroke services and discontinuing them at other de-centralized hospitals. GIS system and analytical tool developed to determine travel times for patients including emergency transport; private and public transport options. On this basis a decision was made to keep the stoke units open as it would have had too greater impact on the speed of treatment. ,,The methodology and techniques used are easily replicable for other geographical areas.,,,
P91,https://www.publictechnology.net/articles/news/belfast-trials-app-based-rewards-visiting-park-0?utm_medium=email&utm_campaign=Daily%20email%204th%20of%20June&utm_content=Daily%20email%204th%20of%20June+CID_c3c3cca84213447e60d431e4ebde8da0&utm_source=Email%20newsletters&utm_term=Belfast%20trials%20app-based%20rewards%20for%20visiting%20park,Belfast Civic Dollar App,2021,2021-06-01 to 2021-09-2021,General economic; commercial and labour affairs,4.1,1,1,1,1,1,1,,,,,,,,,,,,,,1,,1,United Kingdom,,,,,,,1,Belfast,1,,1,,1,1,,,,,,1,1,,1,1,,1,Belfast City Council,Moai Digital,Use of GPS phone tracking,The free Civic Dollars app will track users’ locations and reward them for each half hour spent in Connswater Community Greenway; a linear park following the course of three rivers through east Belfast; with a daily limit The resulting ‘dollars’ can be spent on transport passes and tickets to visitor attractions. They can also be donated to community groups in the city; which can use them for services including business training and professional advice. The objective is to encourage people to exercise and connect with nature. It also provides a promotional platform for local businesses and the data gathered will be used to better understand how people use the park and improve management; reduce vandalism; littering etc. ,,,,,
P92,https://www.vlaio.be/nl/andere-doelgroepen/flanders-innovation-entrepreneurship/subsidies-entrepreneurs/subsidies,Hindrance Premium tool in Flanders,,,Construction; General economic; commercial and labour affairs,4.4; 4.1,,,1,,,1,,,,,,,,,,,,,,,1,1,Netherlands,1,Flanders,,,,,,,1,,1,1,1,1,,,,,,1,,,,,,,Flemish Agency for Innovation and Entrepreneurship,," The automatic selection is based on data from the GIPOD (Generic Information Platform Public Domain); in which all public works in Flanders are registered; and the VKBO (Enriched Crossroads Bank for Enterprises). 

Technology is a key enabler but was not the critical success factor in the pilots. The focus was firmly on the stakeholders and processes dealing with underground asset data. The NUAR prototype platform is not a live service: this will be developed as part of a national roll out following an open and competitive tender process.

The data model was based upon an international standard under development by the Open Geospatial Consortium (OGC) which informed our approach about bringing data together from disparate organisations and sectors into a common; harmonised structure. This harmonisation will be critical for long term success; and we will be refining the model to ensure it is extensible and allows data to be consistently used.",Vlaio; the Flemish Agency for Innovation & Entrepreneurship developed the so-called Hindrance Premium tool; in collaboration with Information Flanders. The hindrance premium is a financial subsidy for small enterprises who face serious hindrance from roadworks. These enterprises automatically receive a letter from the Flemish administration in case they qualify for a hindrance premium. The automatic selection is based on data from the GIPOD (Generic Information Platform Public Domain); in which all public works in Flanders are registered; and the VKBO (Enriched Crossroads Bank for Enterprises). The unique combination of both databases; supplemented with the open data from GRB; CRAB and the road register; allows a geographical selection of companies that will be affected by planned works. These company can easily request the allowance via an interactive web application. Use case demonstrates a pro-active public service. ,,,,https://publications.jrc.ec.europa.eu/repository/handle/JRC117725,
P93,https://www.gov.uk/government/publications/national-underground-asset-register-project-update/national-underground-asset-register-project-update,Underground Asset Register in Northumbria and London,2018,2018-2020,Mining; Manufacturing and Construction; Fuel and Energy; Water management; Waste water management; Communication; Transport; Housing Development,4.3; 4.4;  4.5; 4.6; 5.2; 6.1; 6.3,,1,,1,1,,,,,,,,,,,,,,,1,,1,United Kingdom,1,North East,,,1,London,,,1,1,1,1,1,,,,,,,,1,,,1,,,Ordnance Survey; Greater London Authority,,,"Our first intervention in this sector is to better map underground assets. Every construction and infrastructure project has to source information on buried utility assets such as cables; pipes; sewers and ducts when preparing ground investigation and excavation work. Multiple different organisations have to be contacted with their data delivered in varied formats; scales; quality; and on different timelines. This is hugely inefficient and results in an increased risk of asset strikes with potentially lethal consequences as well as project delays; cost overruns and disruption to traffic and local economies.

The aim of the NUAR pilots was to create a secure data exchange platform to provide a digital map of where assets are located; test its usability and if it can have any impact on the likelihood of asset strikes and project inefficiencies.

Pilot in London and North East of England

Each pilot had approximately 25 participants which clearly demonstrated the high value that high participation can unlock.

4 targeted use cases: safe digging; on-site; site planning; data exchange. ","We believe the current system is unlikely to reform itself as there is no single asset owner who bears the wider societal costs from utility strikes such as potential loss of life; injury; wider project delays and traffic disruption.

The research team also built strong relationships with colleagues operating the VAULT system in Scotland; the KLIP system in Flanders and KLIC system in the Netherlands. Their cooperation and practical advice proved vital throughout the project.

Well-informed; trusted and engaged local stakeholder communities are critical to gaining buy-in for data sharing initiatives - especially as the full benefit of NUAR only arises when everyone participates.

Relationships need to be formed with a common aim and be built on respect for each others’ expertise; approaches and capabilities
Positive engagement with existing initiatives and research was essential to build trust and avoid friction and duplication.

Stakeholders told us that Government involvement was critical in achieving participation from all utility sectors.

We learnt extensively from previous initiatives that have gone before NUAR to pick and use the best approach.
Having 4 clearly defined use cases helped to tell the story about the need for NUAR and reduced scope creep.","Reliable and secure data sharing is also a large-scale coordinated task; requires significant upfront investment and can involve commercial sensitivities; all of which are major barriers to change.  The results from user testing during the NUAR pilot do however indicate that there are limitations to these services which could be addressed through the introduction of a comprehensive digital map showing all underground pipes and cables. In the future there could be potential to integrate the NUAR platform with other utility search and information services.

although only intended as a prototype; the platform adopted a security-minded approach to the disclosure of asset information. Advice was sought from Centre for the Protection of National Infrastructure (CPNI); the National Cyber Security Centre (NCSC) to address national security and asset owners were consulted regarding their commercial and security concerns.
A balance was needed between the need to protect data and to allow access which was done via a “secure by design” approach.
Data sharing agreements were signed between all 35 public and private sector organisations participating in the pilot. This alignment of operational requirement and a risk-based legal approach has been a major milestone for the pilot project.
During the pilots; asset owners continued to own; manage and take decisions on their own data; and any existing positions over liabilities remained the same. This principle is expected to continue through future phases of the programme.","accidental strikes on underground assets are estimated to cost £1.2bn a year in direct and indirect cost.

The pilots also helped to address the Geospatial Commission’s wider programme in a number of areas including:

Data sharing frameworks and mechanisms; particularly between private sector organisations.
Data security and the need to balance security with safety benefits from fewer asset strikes.
Understand the legalities and liabilities with sharing of infrastructure data.
Understand data modelling; specifically how data can best be brought together from both private and public sector organisations and displayed in a single view.",,
P94,https://inspire.ec.europa.eu/news/inspire-based-data-model-klip-digital-platform,Flanders Digital Underground Utility Location System  ,2016,,Mining; Manufacturing and Construction; Fuel and Energy; Water management; Waste water management; Communication; Transport; Housing Development,4.3; 4.4;  4.5; 4.6; 5.2; 6.1; 6.4,,1,1,1,1,1,,1,,,,,,,,,,,,,1,1,Belgium,1,Flanders,,,,,,,1,1,1,1,1,,,,,,,,1,,,1,,,Flemish information agency,,The KLIP platform has the responsibility to package and present these answers into the map viewer; with one base map; presented in accordance to the presentation model PMKL. This viewer is available as an online and standalone offline PC version. As of 2018; tablet versions for Android and iOS will be available. > The map request initiator will use the KLIP viewer when preparing or executing the excavations; he can print the maps or download the vector data tin order to integrate into a CAD system for combining with other data. Integration of APIs to enable faster map requests.,Development of an underground asset registry - core feature is the data exchange between different utility providers. The data sharing arrangements agreed were lasted included within legislation. Much more efficient system for map requests - the delivery time dropped 50% saving time and money. ,"In order to build a digital exchange platform; a business case was made in
collaboration with the various stakeholders. Of course; every target group has
to find a number of needs fulfilled in the solution. Map requesters; utility
companies; local governments and the Flemish government decided on the
needs and the architecture of the solution.

Based on the positive impact of shortening the interpretation of underground
information by ground workers; an agreement was reached on the business
case; including the financing. New legislation was made; in order to ensure
the deployment of the system and the payment of 10 euro per map request.

At this moment only 3 of 244 network authorities are not compliant to the
14obligation",,,http://eurogi.org/wp-content/uploads/2017/12/10_20171207_eurogi_an_introduction_to_KLIP_handouts.pdf,https://www.youtube.com/watch?v=cyMJROmt7Eo
P95,https://www.geosparc.com/en/spotbooking,Spotbooking in Flanders,,,Community development; General economic; commercial and labour affairs; Other industries (tourism); recreational and sporting services; cultural services,6.2; 4.1; 8.1; 8.2; 4.7,1,,1,1,,1,1,1,,,,,,,,,,,,,1,1,Belgium,,,,,,,13,Kortrijk; Hasselt; Turnhout; Lier; Leuven; Hamme; Brakel; Keerbergen; Wingene; Ninove; Zonhoven; Stabroek; Asse.,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,,,Geosparc,Building apps on top of SDI/INSPIRE/API's; development of web and phone application. Platform also enables the interpretation/analysis reporting of data collected.  ,"Spotbooking allows individuals and organizations to submit applications/requests via a user-friendly application to temporarily occupy the public space; for example for a house move; renovation works; terraces; events and more. Permit submission platform to enable citizen involvement in use of public space.

With Spotbooking local governmental organizations can handle requests; and approve or reject these. Thanks to the advice system the local governmental institution can be supported in taking the correct decision. 

Once applications are granted; enforcers can consult them via a mobile web application. They receive an overview of past; current and future applications at the location where they are located; both in a list and visually on the map.

Additional pandemic use case for geosparc application: As part of the reopening of cafés; bars and restaurants; the hospitality sector is looking for extra pavement café space. With Geosparc's Spotbooking; cities and municipalities make it easy for business owners to apply for pavement café licences.’",,,"

Rolled out in other parts of  Belgium; France; Czech Republic",,
P96,https://mijntuinlab.be/home/,MijnTuinLab (MyGardenLab) : Citizen Science Platform,2020,,Protection of environment and biodiversity,5.4,,1,1,1,1,,1,,,,,,,,,,,,,,1,1,Belgium,,,,,,,,,,,,,,1,,,1,,,,1,,,,1,1,Department Economie Wetenschap & Innovatie,Natuurpunt; Erasmus; Kenniscentrum tuin; KU Leuven; Het Nieuwsblad,Use of crowdsourced data,"Citizen Science; involving citizens in better management of Gardens; contributing to the increase of biodiversity (30.000 participants)

Mijn Tuinlab' is a platform for citizen science in gardens. The project will gather information about the composition and ecological value of gardens in Flanders. The platform will show various citizen science projects that can be carried out in gardens.

The overall scientific goal of the project is to identify and systematically analyse the ecological value of gardens. Knowledge on this subject is currently severely limited. The ecological value of gardens can be an important tool to look at climate change.

The citizen scientists not only gather data for scientific research; but also get personal feedback on the composition of their garden and the impact it has on biodiversity and water management.",,,,,
P97,https://www.uantwerpen.be/en/projects/airbezen/,AirBezen: Air Quality Map in Antwerp,2014,,Pollution abatement,5.3,,1,1,1,1,,1,,,,,,,,,,,,,,1,1,Belgium,,,1,East Flanders,,,1,Antwerp,,,,,,1,,1,1,,1,,1,,,,,1,,Stadslab 2050; University of Antwerp,Citizens Science; involving them in monitoring air quality (see INSPIRE Conference Antwerp),By examining the leaves of strawberry plants; AIRbezen maps the air quality of a city or province. Strawberry plants are distributed among families; schools or associations; who give the plant a place on the windowsill. After 2 months the strawberry-hosts cut off a few leaves and bring them in at the distribution points. The researchers at the University of Antwerp then measure the concentrations of particulate matter on the leaves; thus revealing to what the plant was exposed.,AIRbezen is a real citizen science project in the sense that citizens actively participate in a research project. There is a strong interaction between participants and the University of Antwerp; whereby citizens collect data; the university interprets said data and the results flow back to the citizens. The project was successfully applied for the first time in 2014 in Antwerp; but soon expanded to schools; East Flanders and projects abroad.,,,,
P98,https://news.sap.com/germany/2019/05/abfallmanagement-iot-heidelberg/,Heidelberg smart waste,2019,,Waste management,5.1,1,1,1,1,,,1,,,1,,,,,,,,,,,1,1,Germany,,,,,,,1,Heidelberg,1,,1,1,,,,,,,,,1,,,1,,1,Heidelbery Digital Agency,SAP,IoT devices linked to analytical software. The sensors record the fill level of the container in real time and send this information every hour to the backend in the SAP Cloud Platform via the long-range wireless technology LoRaWAN (Long Range Wide Area Network).,"Together with SAP Digital Business Services; the Heidelberg Digital Agency and other partners; the city of Heidelberg installed ultrasonic sensors in the containers that are up to ten kilometres from the city centre; for example on the Kurpfalzhof; an agricultural operation in front of the city. The sensors record the fill level of the container in real time and send this information every hour to the backend in the SAP Cloud Platform via the long-range wireless technology LoRaWAN (Long Range Wide Area Network).

At the right time; as soon as the platform sounds the alarm; the garbage truck can take the shortest route to the container and empty it. Advantage: unnecessary trips to half-full containers are a thing of the past. The traffic is relieved by the targeted use of the vehicles and fuel costs and CO 2 emissions are also reduced.

In addition; the collected data can be processed further. With the SAP Waste and Recycling Management System; those responsible can create further analyses in order to predict the amount of waste at peak times and to adjust the expenditure for disposal accordingly.",,,,,
P99,https://eu.smartcitiescouncil.com/article/amsterdam-uses-emerging-technologies-provide-more-efficient-and-effective-services-its-citizens,Amsterdam Beacon Mile,2016,,Other industries (tourism);  General economic; commercial and labour affairs; cross-cutting,4.7; cross-cutting,1,,,,,,1,1,,,,,,,,,,,,,1,1,Netherlands,,,,,,,1,Amsterdam,1,,1,1,,1,,,,,,1,,,,,,,Amsterdam Smart City,,Glimworm creates Internet of Things infrastructure for the city of Amsterdam via the IoT Living Lab by installing Eddystone beacons; iBeacons; sensors and LoRa (long range) wireless networks that accelerate smart citizen solutions. KPN creates a digital infrastructure by connecting all objects in the city to the www. The Living Lab in Amsterdam is open and implemented in public spaces to provide access to developers and solution providers to test next generation interactive (mobile) applications and sensors that also generate open data thus creating new value chains across industries and economy of scale,"A testing area for those who want to test applications such as:
- Public way finding
- Tourist routes
- iBeacon signing
- Hyper local points of interest
- Augmenting existing apps with additional proximity data ",,,,,
P100,https://www.arcopole.fr/covid-19.aspx,GIS platform to Manage COVID-19 Mask Supply,2020,,"Public Health



",7.4,,,,1,,1,1,,,,,,,,,,,,,,1,1,France,,,,,,,1,Caux-Seine-Agglo,1,1,1,1,1,,,,,,,,,,,,,,Caux-Seine-Agglo,ESRI,Use of GIS including ARCGIS dashboard and survey tool for collecting data from civil servants,PPE management tool for public sector departments - enabling demand logging; supply analysis and facilitating distribution. Also tracking availability of PPE for the population. ,Developed with clear documentation and guidance; designed with intention that it could be replicated by other local authorities through the Arcopole Program (GIS CoP),,,,
P101,https://geoagglo.cergypontoise.fr/portal/apps/MapSeries/index.html?appid=f5b2ab3c3e964ad9bc903e3d2e68dfa9,Mapping of Species in Cergy-Pontoise,2020,,Protection of environment and biodiversity,5.4,,,,1,1,,1,,,,,,,,,,,,,,1,1,France,,,,,,,1,Cergy-Pontoise,,,,,,1,,,1,,1,,1,,1,,,1,Cergy-Pontoise ,,Crowdsourcing information into the local authorities GIS portal; citizen science project and development of story map. Does not appear to include a mobile app with GPS capabilities to facilitate accuracy/ease of use.,The purpose of this atlas is to obtain a precise and mapped inventory of the flora and fauna of our territory. A participatory science tool; it gives the general public; supported by a team of experts; the opportunity to take part in a real species monitoring study. It also makes it possible to sensitize and mobilize elected officials; socio-economic actors and inhabitants to biodiversity. The atlas of biodiversity in Cergy-Pontoise will begin with 14 relatively common and easy to identify species. When you have spotted one of these species; you just have to go to the atlas and enter your observations. They will then appear on a map; along with those provided by the other participants. You will discover the portrait of each of the 14 species concerned and will be able to measure their presence in Cergy-Pontoise. If you observe other species than those listed on the atlas; links will allow you to be redirected to other sites in order to share your observations; such as that of the town of Vauréal; which has its own atlas .,,,,,
P102,https://www.loiret.fr/actualite/100-km-de-chez-vous-il-y,Loiret Interactive Tourism Map,2020,,Other industries (tourism),4.7,,,,1,1,,,,,,,,,,,,,,,,1,1,France,,,,,1,Loiret,,,,,,,,1,,,,,,1,1,,1,1,,,Department of Loiret; Tourism Loiret,,Maps on the web layers for PoI and routes,Tourist map of points of interest and cycling/walking/riding routes. You can search from your address within a certain distance range. Filters applied based on Covid-19 restrictions to help citizens discover new areas closer to home. ,,,,,
P104,https://www.railtech.com/rolling-stock/2021/05/21/ato-prototype-prepared-for-two-year-trial-in-france/?utm_source=newsletter&utm_medium=email&utm_campaign=Newsletter%20week%202021-21,Regio 2N Regional Train Pilot in the North of France,2021,2021-05-17 to 2015-05-21,Transport,4.5,1,,1,,1,,1,1,,,,,,1,,,,,,1,,1,France,,,,,,,1,Nord,1,,1,1,,,,,,,,,,,,,,,SNCF,Alstom; Bosch; Spirops; Thales; Railenium Technology Research Institute, Various sensors; cameras; radars and lidars (laser detection) were fitted to collect essential data for the project. Geolocation system (by satellite) to provide precise location of the train. ,Series of trials to fine-tune operating of automatic train operation pilot on national rail network.  Various sensors including cameras; radars lidars fitted to train to collect essential data/ The trials test perception and recognition systems along the track; the geolocation system; particularly by satellite which provides the precise location of the train.,The trials are authorised by the French National Railway Safety Authority (EPSF). The goal is to help substantiate the safety demonstration required for the train’s future authorisation to operate. As an observer in the project; EPSF will be in a position to assess the understanding of the technologies developed. Also; the impact on the railway system will be assessed; as well as any possible regulatory changes needing to be made for this new type of operation.,, After the trials on the national railway network at Busigny; a two year trial phase will start in the same area. The semi-autonomous operation makes it possible to automate the acceleration and braking of the train; supervised by a driver. These trials are a key step towards achieving the consortium’s ultimate objective: achieving full autonomy by 2023.,,
P105,https://www.heatmap.fi/helsinki/,Real-time Crowding Heatmap,2021,,Transport;  General economic; commercial and labour affairs; Public Health,7.4; 4.5; 4.1,1,1,1,1,,1,1,,,,,,,,,,,,,1,,1,Finland,,,,,,,1,Helsinki,1,,1,1,,1,,,,,1,1,1,,,1,,,City of Helsinki,Hypercell,Sensor network using Bluetooth signals from devices such as mobile phones. Data collected anonymously and cannot be directly or indirectly linked to either data to enable identification of user. ,"The City of Helsinki’s new Heatmap site shows how busy areas and venues are in real-time to help people plan trips while avoiding crowded areas.

The project aims to improve safety; support the tourism industry and deliver new data for the city.

A colour-coded map; which is updated every minute; has been developed with software company Hypercell; and the city is installing sensors in the centre and other popular tourist areas to detect anonymous Bluetooth signals from devices such as mobile phones.

The signals measure crowd volume; the average time people spend in specific locations; and the movement of crowds within the sensor network.

The trend for tracking busyness in cities via sensors or CCTV analytics has accelerated during the pandemic to support social distancing and recovery planning but not all systems offer citizen-facing tools and many are not real-time. 

Businesses that host sensors will be visible on the Heatmap and can use the collected data for “a variety of purposes; including optimising their marketing and measuring customer potential in different areas”.

Meanwhile; the city will use the sensor data to understand which tourism attractions are most popular and to focus services based on demand. The data could also be useful for traffic planning and other initiatives.",,"Last month; the Dutch city of Enschede was fined €600;000 (US$716;000) for its use of Wi-Fi sensors to measure the number of people in the city centre. The Dutch Data Protection Authority said the programme; which began in 2017; made it possible for the data to be linked with individuals and for movements to be tracked over time. The municipality is appealing the decision and said the accounts are anonymous and that no personal data has been processed.

A statement from the City of Helsinki said: “All the data is collected anonymously; and none of the data can be directly or indirectly linked to other data to enable the identification of the user in question.”",The Heatmap is being implemented as part of a data pilot under the ‘Regional management of safety in tourism’ project; which is funded through tourism recovery grants from the Ministry of Economic Affairs and Employment. ,https://cities-today.com/helsinki-launches-real-time-crowding-heatmap/?utm_source=cities-today&utm_medium=newsletter&utm_campaign=210625,
P106,https://www.iotforall.com/paris-smart-city,Tracking the Parks of Paris,2020,,Community development,6.2,1,1,1,1,,1,1,,,,,,,,,,,,,1,,1,France,,,,,,,1,Paris,1,,1,1,1,,,,,,,,1,,,1,,1,City of Paris,Nodle,Bluetooth Low Energy Beacons in newly installed urban furniture. These beacons gather data in two ways: passive data gathering. The Bluetooth beacons; which will run years or decades without a charge; record when individuals with Bluetooth-enabled phones rest on a bench. Second; Parisians and visitors can participate in active data collection. Anyone with the official City of Paris app will receive survey prompts if they open the program within beacon range. A visitor to the Champs-Élyssées might receive questions specific to that location; in the Bois de Vincennes; the app would ask different questions. Data from active and passive data collection will be parsed and anonymized.,Data gathered will be used to determine mobility patterns and make urban density and planning improvements e.g.  Suppose a lone bench transmits data indicating that many people congregate by it and spend a long time in its vicinity. Planners might observe that more benches should be installed to accommodate unexpected crowds. By contrast; a bench with low occupancy rates might indicate that its location is inconvenient or obscure; perhaps bench needs cleaning and upkeep or the park it resides in needs maintenance. Then there are the less pleasant considerations that city managers must make: the Bluetooth beacons let the city track its property should it be stolen. (asset tracking; data analytics),,,Data gathering and collation isn’t the sole objective of the Internet of Things. As our Paris program suggests; it can add new layers to our experiences of the physical spaces we inhabit. Imagine some future possibilities. Paris has a famous tradition of “flâneurs” who walk the city; stroll the shopping arcades; poke their heads into odd corners and relish the peculiarities of each street in every arrondissement. Most of us today don’t have the leisure to be full-time flâneurs; but a Bluetooth-enabled app overlay could help us carve out time for leisurely contemplation in the busy modern city. Critics allege that phones and mobile technology distract us from our surroundings and take us out of community spaces. Perhaps they can; but digital innovation can bring us back to and make us more fully involved in the places we go. Paris shows us how technology can return us to the world.,,
P107,https://erfrischungskarte.odis-berlin.de/?latitude=52.520952&longitude=13.400033&zoom=14,Shade and Coolness Map in Berlin ,2021,,Public Health,7.4,,1,1,1,1,,1,,,,,,,,,,,,,,1,1,Germany,,,,,,,1,Berlin,,,,,,,,,,,,,1,,,1,,1,Open Data Informationsstelle Berline; CityLAB Berlin,,Online app (maps on the web) that is based on OSM. Shares information on shady; cool; windy areas based on information on geographical features and prior average temperature data for a summers day to indicate which areas are likely to be cooler etc.,"Climate change is causing ever hotter; drier weather in many places. Berlin; too; has experienced more hot days than ever before in recent years. You can see where; when and how you can find refreshment on such days in this map. It shows you for every hour from 10 a.m. to 8 p.m.; where it tends to be rather cool; where there is usually a fresh breeze and where there is currently shade. Due to the differentiated topography; there can be considerable differences within the urban area. You can also discover refreshing places such as swimming areas; drinking fountains and parks. With one click on the share function you can share your new favourite place with others.

This application is based entirely on open data.",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P108,https://governmentbusiness.co.uk/features/view-above-drones-and-public-services ,Drones for Social Housing Surveying,,,Housing development,6.1,1,,,,1,,1,,,,,,,,1,,,,,,1,1,United Kingdom,,,,,,,,,1,,,1,,,,,,,,,1,,,,,1,Local Authority in Scotland (?),Local drone company (?),,A Scottish local authority had saved £4.5 million due to drones. A local drone company was contracted to provide aerial inspection to over 600 council owned properties. This formed part of a larger scale program to bring them into line with HEEP (Home Energy Efficiency Programs) and SHQS (Scottish Housing Quality Standard). By using UAVs rather than traditional methods meant the inspection has taken weeks rather than years. It has also minimised the risks to staff of working at height and the risks of further damage being caused during the inspection process itself.,,,,http://www.aforocostadelsol.es/,
P109,https://www.geosparc.com/en/issuedoc,IssueDoc: Non emergency Citizen reporting,,,Transport; Street Lighting; Waste Management; Water Management,4.5; 6.4; 5.1; 5.2 ,1,,1,1,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,1,1,,1,1,,,,1,,,1,,,,Geosparc,Mobile phone app and back-end request management system.  Location-enabled citizen reporting.,Issuedoc brings you an easy; point-and-click mobile solution to report issues and problems and to track issues on a map. With Issuedoc citizens or government representatives can quickly go out and track issues. It  allows you to enhance issues with text and pictures and it can be easily customized to meet the specific needs of cities and local governments. Issuedoc can be easily connected to popular issue tracking devices or integrated with existing; proprietary business applications; back offices and databases. ,,,,,
P110,https://www.geosparc.com/en/parktrack,Smart Parking: Park Track ,,,Transport,4.5,1,1,1,1,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,1,1,,,,,,,,1,,,1,,,,Geosparc,Network of sensors in parking spots - front-end feature to book and a back-end management system.,"PARKTRACK gives you a real-time overview of all sensor-equipped parking spots in your city; tells you exactly how long cars have been parked on these parking spots; and provides you a trustworthy and user-friendly interface to effectively enforce overstays in your city. PARKTRACK is an indispensable tool to resolve the parking nightmares of today.

With PARKTRACK you can:

set up easy and trustworthy reporting based on sensor data

get a real-time overview of all sensor-equipped parking spots in your city

get insights in how parking spots are being used; including parking for electric vehicles

effectively enforce parking overstay violations when parking time limits are exceeded

connect to all types of sensors",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
